htid,recordid,oclc,locnum,author,imprint,date,place,enumcron,subjects,title,prob80precise,genrepages,totalpages,englishpct,datetype,startdate,enddate,imprintdate
nnc1.cu53332458,8426807,43861151,PQ1839.M5E5 1704,"Molière,",London;Printed for William Davis [etc.;1704.,1704,enk,,,Monsieur de Pourceaugnac,0.82,59,76,0.994,s,1704,    ,1704
uc2.ark+=13960=t5z60dc2s,7655865,11816789,,"Cibber, Colley,",London;W. Davis;1705.,1705,enk,,,The careless husband;,0.85,66,84,1.0,s,1705,    ,1705
nnc1.1002312220,8405289,228748718,PR1241.L6 vol. 115,"Estcourt, Richard,",London;B. Lintott;1706.,1706,enk,,,The fair example,0.86,75,88,1.0,s,1706,    ,1706
mdp.39015063936382,243375,10381450,,"Prior, Matthew,",London;Printed and sold by H. Hills;1709.,1709,enk,,"1631-1700;Hind and the panther;Dryden, John",The hind and the panther,0.76,70,101,1.0,s,1709,    ,1709
njp.32101037605738,9656886,35698118,,"Jonson, Ben,","London;Printed and sold by H. Hills, in Black-Fryars, near the Water-side;1710?",1710,enk,,,Epicoene,0.88,101,114,1.0,s,1710,    ,1710
hvd.32044086920493,764204,2801099,PR1241.L6 vol.172,"Gay, John,","London;Printed for Bernard Lintott, at the Cross-Keys between the Two Temple Gates in Fleetstreet;1713.",1713,enk,,,The wife of Bath,0.84,137,156,0.998,s,1713,    ,1713
njp.32101058180207,8905047,15512023,,Terence.,London;Printed for J. & B. Sprint ... T. Child ... and N. Cliff & D. Jackson ...;1713.,1713,enk,,,Terence's comedies made English;,0.86,301,376,1.0,s,1713,    ,1713
hvd.32044018728774,1421357,23628910,,"Hunter, Robert,","New York;Printed [by William Bradford] at Monoropolis since;August, 17 [14",1714,nyu,,,Androboros,0.8,32,44,1.0,s,1714,    ,1714
hvd.hxvf6w,9709191,24525348,,"Shakespeare, William,",London;Printed for J. Tonson [etc.;1714.,1714,enk,v.7,,The works of Mr. William Shakespear,0.9,383,402,1.0,s,1714,    ,1714
njp.32101071963175,1422184,23631980,,"Racine, Jean,","London;Printed, and sold by F. Burleigh;1714.",1714,enk,,,Two tragedies viz. Britannicus;,0.86,97,116,1.0,s,1714,    ,1714
nyp.33433067303440,1022268,10705012,PR 3505 G33L89 1715,"Griffin, Benjamin,",London;W. Mears;1715.,1715,enk,,,Love in a sack,0.84,59,70,0.992,s,1715,    ,1715
pst.000055157780,7025572,82285781,,"Rowe, Nicholas,",London;J. Tonson;1715-1730.,1715,xx ,v.2,,Rowe's plays,0.9,333,368,1.0,m,1715,1730,1715-1730
hvd.32044086921335,9707680,15383092,,"Deschamps, François-Michel-Chrétien,",London;Printed for E. Curll ...;1716.,1716,enk,,"Addison, Joseph;1672-1719;Cato",Cato,0.78,177,228,0.999,s,1716,    ,1716
mdp.39015028030362,2721600,13595343,,"Plautus, Titus Maccius.",London;Printed for T. Child ... W. Taylor ... and S. Chapman ...;1716.,1716,enk,,,"Plautus's comedies, Amphitryon, Epidicus, and Rudens",0.82,185,256,0.999,s,1716,    ,1716
njp.32101037602263,9471508,7959182,,"Addison, Joseph,",London;J. Tonson;1716.,1716,enk,,,"The drummer; or, The haunted house",0.88,124,142,1.0,s,1716,    ,1716
njp.32101037605886,1022267,4445048,PR1241.L6 vol. 75,"Griffin, Benjamin,",London;A. Bettesworth [etc.;1716.,1716,enk,,,The humours of purgatory,0.71,48,84,1.0,s,1716,    ,1716
mdp.39015021040012,1910051,23624243,,"Dryden, John,",London;J. Tonsor;1717-1735.,1717,enk,v.6,,"The dramatick works of John Dryden, esq;",0.85,424,515,1.0,m,1717,1735,1717-1735
mdp.39015021040020,1910051,23624243,,"Dryden, John,",London;J. Tonsor;1717-1735.,1717,enk,v.5,,"The dramatick works of John Dryden, esq;",0.78,286,417,1.0,m,1717,1735,1717-1735
mdp.39015021040046,1910051,23624243,,"Dryden, John,",London;J. Tonsor;1717-1735.,1717,enk,v.2,,"The dramatick works of John Dryden, esq;",0.86,383,438,1.0,m,1717,1735,1717-1735
uc2.ark+=13960=t13n22784,7431948,3296354,,"Dryden, John,",London;J. Tonson;1717.,1717,enk,v.005,,"The dramatick works of John Dryden, Esq",0.81,291,416,1.0,s,1717,    ,1717
uc2.ark+=13960=t2s46k151,7431948,3296354,,"Dryden, John,",London;J. Tonson;1717.,1717,enk,v.003,,"The dramatick works of John Dryden, Esq",0.86,391,456,1.0,s,1717,    ,1717
uc2.ark+=13960=t6d21tp5j,7431948,3296354,,"Dryden, John,",London;J. Tonson;1717.,1717,enk,v.001,,"The dramatick works of John Dryden, Esq",0.77,262,424,1.0,s,1717,    ,1717
uc2.ark+=13960=t8gf0q56n,7431948,3296354,,"Dryden, John,",London;J. Tonson;1717.,1717,enk,v.004,,"The dramatick works of John Dryden, Esq",0.84,377,464,1.0,s,1717,    ,1717
